Date,Open,High,Low,Close,Adj Close,Volume
2023-03-02,6.755853,6.772225,6.586203,6.631239,6.631239,18570549887
2023-03-03,6.631655,6.635465,6.115410,6.273638,6.273638,46106610503
2023-03-04,6.273730,6.304554,5.973183,6.092207,6.092207,21848537680
2023-03-05,6.092894,6.203397,6.080676,6.111676,6.111676,17631350859
2023-03-06,6.111300,6.139782,6.024705,6.123120,6.123120,22509546075
2023-03-07,6.123116,6.206848,5.994139,6.077465,6.077465,25383904889
2023-03-08,6.077466,6.092862,5.800431,5.830146,5.830146,26362142319
2023-03-09,5.830301,5.921757,5.301897,5.412186,5.412186,42957947876
2023-03-10,5.830301,5.921757,5.301897,5.412186,5.412186,42957947876
2023-03-11,5.412895,5.420237,5.170997,5.399535,5.399535,39021167459
2023-03-12,5.399522,5.593350,5.285888,5.458420,5.458420,36806167791
2023-03-13,5.457421,5.841422,5.415339,5.821042,5.821042,30766819784
2023-03-14,5.820983,6.056183,5.615752,6.019919,6.019919,44281031624
2023-03-15,6.019512,6.391274,5.916813,6.155352,6.155352,53665678734
2023-03-16,6.156809,6.272612,5.645647,5.779064,5.779064,43712604758
2023-03-17,5.780014,6.070885,5.729750,6.008213,6.008213,26947235722
2023-03-18,6.009252,6.379494,5.933467,6.314490,6.314490,40077116881
2023-03-19,6.314589,6.500601,6.020429,6.028970,6.028970,42738761359
2023-03-20,6.028264,6.322145,6.028264,6.174726,6.174726,27969883118
2023-03-21,6.174279,6.237025,5.862560,5.899754,5.899754,33774226428
2023-03-22,5.900120,6.407712,5.856485,6.357364,6.357364,52190488559
2023-03-23,6.355435,6.413444,5.950675,6.106823,6.106823,57232649911
2023-03-24,6.106560,6.478525,6.044065,6.368321,6.368321,52413255219
2023-03-25,6.367685,6.374749,6.045703,6.149698,6.149698,32671189246
2023-03-26,6.149849,6.251297,6.008405,6.097354,6.097354,23619806952
2023-03-27,6.098277,6.207031,6.070718,6.127449,6.127449,18848768122
2023-03-28,6.128156,6.240547,5.903758,5.993041,5.993041,35786997951
2023-03-29,5.993386,6.074482,5.910851,6.065655,6.065655,22719681373
2023-03-30,6.065688,6.316869,6.050812,6.220776,6.220776,34866812558
